date,category,tags,provider,comments,title,summary,articleUrl,imageUrl
20120105154007,politics,여성혐오|혐오,한겨레,4873,박원순 폭행녀 “빨갱이 토막쳐 북으로 보내야”,"[한겨레]인터뷰｜열렬한 이회창 의원 지지자에서 과격한 '아스팔트 우파'가 된 박명옥씨의 인생역정""김대중 대통령과 노무현도 모두 빨갱이…어디서 돈 받고 왔냐고 물으면 화나""　일명 '박원순 폭행녀'로 불리는 박명옥(63)씨는 인터뷰 전 기자에게 이회창 전 자유선진당 대표를 지지하는지부터 물었다. ""그렇지 않은 기자와는 대화하고 싶지 않다""고 말했다. 그는 ",http://v.media.daum.net/v/20120105154007973,http://t1.daumcdn.net/news/201202/02/hani/20120202171008548.jpg
20120105100005,society,범죄|성추행|추행,뉴시스,1557,소방서장 성추행에 무너진 女 소방관,【광주=뉴시스】맹대환 기자 = 인명구조라는 고귀한 업무를 천직으로 생각하고 소방직에 몸담았던 30대 여성 구급대원이 상사로부터 성추행 피해를 입고 결국 퇴직해 씁쓸한 뒷맛을 남기고 있다.5일 전남도소방본부에 따르면 소방서장으로부터 성추행 피해를 당했던 이모(30·여) 소방사가 지난달 말 1년여 동안 몸담았던 소방직을 떠났다.지난 2010년 11월 전남도,http://v.media.daum.net/v/20120105100005567,
20120105085410,society,범죄|성매매,노컷뉴스,700,장애인 두 번 울리는 性 자원봉사 논란,[CBS 조혜령 기자]7살 때 동물원에서 곰에게 팔을 물린 뒤 20년 동안 장애인으로 살아온 박모(27)씨는 지난해 12월 청소년을 대상으로 성매매를 한 혐의로 구속됐다.한쪽 팔이 없어 여자를 만나기 어려웠다는 박씨는 이렇게 밖에 이성을 만날 방법이 없다며 성 자원봉사자가 있었다면 자신이 구속되지도 않았을 거라고 억울해 했다.장애인을 대상으로 성적 서비,http://v.media.daum.net/v/20120105085410608,http://t1.daumcdn.net/news/201201/05/nocut/20120105085410677.jpg
20120106152208,society,범죄|추행,연합뉴스,1276,'곧 졸업인데'..추행 가해자 부모 '전학권고' 거부,"(수원=연합뉴스) 이우성 기자 = ""학교의 '전학권고'를 학부모가 거부해 가해 학생들은 학교에 남고, 오히려 피해 여학생이 쫓기듯 전학갔어요. 이게 말이 됩니까""지난해 7~9월 경기도의 한 초ㆍ중등 남학생 8명(중1년 1명ㆍ초6년 7명)이 초등학교 여학생 A(12)양을 추행한 사실이 경찰 수사를 통해 드러나 충격을 주고 있다.더욱이 정작 몹쓸 짓을 한 ",http://v.media.daum.net/v/20120106152208066,
20120106032309,society,범죄|성추행|추행,조선일보,1047,6학년 7명이 교실에서 여학생 집단 성추행… 끔찍한 초등학생들,"""어떻게 학교 안에서 초등학생들까지 이럴 수 있습니까?""이제 겨우 초등학교 6학년, 열두 살밖에 안 된 A양의 아빠(47)는 말을 잇지 못했다. 수화기 너머에서 목이 메었다. 한숨 소리도 연거푸 들렸다. 5일 오후 경기 수원시 아주대병원 정신과. 전날 밤 이런 통화를 나눈 뒤 어렵게 만난 A씨는 친구들로부터 집단 성추행을 당한 딸과 함께 4시간 동안 정",http://v.media.daum.net/v/20120106032309335,http://t1.daumcdn.net/news/201201/06/chosun/20120106175203953.jpeg
20120106093606,society,여성혐오|혐오,헤럴드경제,561,‘박원순 폭행녀’ 기소…알고보니 국회의원 단골 폭행범,"공개 석상에서 박원순 서울시장에게 다짜고짜 손찌검을 한 여성이 재판에 넘겨졌다.서울중앙지검 형사3부(부장검사 박윤해)는 진보 진영 인사 등에게 폭행을 행사한 혐의(폭행) 등으로 박모(62) 씨를 불구속 기소했다고 6일 밝혔다.검찰에 따르면 박씨는 지난해 11월 15일 지하철 화재진압훈련을 참관하던 박 시장에게 달려들어 ""빨갱이가 왜 서울시장을 하느냐""고",http://v.media.daum.net/v/20120106093606899,
20120107080504,entertain,범죄|성매매,뉴스엔,639,"‘사랑과전쟁2’ 남편의 성매매, 아내도 문제? ‘시청자 분노’",'사랑과 전쟁2' 성 중독에 빠진 남편의 성매매에 아내의 책임도 있다는 결론이 나와 시청자들이 분노했다.1월 6일 방송된 KBS 2TV 부부클리닉 '사랑과전쟁2'(극본 김태은/연출 김종윤) 8회 '색다른 남편'에서는 성중독에 빠진 남편 김민섭(김덕현 분)과 성에 수동적인 아내 유은주(김선영 분) 부부가 등장했다.겉보기엔 흠잡을 데 없는 남편이자 아내와 ,http://v.media.daum.net/v/20120107080504332,http://t1.daumcdn.net/news/201201/07/newsen/20120107080504636.jpg
20120108124810,society,강간|범죄,노컷뉴스,377,"""나는 위안부 손자다""…중국인, 주한일본대사관에 화염병 투척",[CBS 김수영 기자]자신의 할머니가 일본군 위안부라고 주장하는 한 중국인이 일본대사관에 화염병을 투척해 경찰이 수사에 나섰다.서울 종로경찰서에 따르면 8일 오전 8시 17분쯤 중국인 유 모(38)씨가 서울 종로구 중학동에 있는 주한 일본대사관에 화염병 4개를 던지고 달아났다.유씨는 1천번째 수요집회를 기념해 지난달 세워진 일본군 위안부 평화비 옆에서 ,http://v.media.daum.net/v/20120108124810894,http://t1.daumcdn.net/news/201201/08/nocut/20120108124810973.jpg
20120108113803,society,강간|범죄,연합뉴스,261,"중국인, 주한 일본대사관에 화염병 투척(종합)","""할머니가 위안부""…경찰, 현장서 체포""내가 지난달 야스쿠니신사 불질렀다"" 주장(서울=연합뉴스) 임기창 김승욱 기자 = 자신의 할머니가 일본군 위안부라고 주장하는 한 중국인이 주한 일본대사관에 화염병을 투척해 경찰 조사를 받고 있다.이 중국인은 자신이 지난달 일본 야스쿠니(靖國)신사 문에 불을 지른 사람이라고 주장하는 것으로 전해졌다.서울 종로경찰서에 ",http://v.media.daum.net/v/20120108113803776,http://t1.daumcdn.net/news/201201/08/yonhap/20120108145206753.jpg
20120109105722,entertain,임신,스타뉴스,443,"이주노 아내 박미리 ""엄마에게 미안해…""","[머니투데이 스타뉴스 이정빈 인턴기자]ⓒ출처=KBS 2TV '여유만만' 방송화면가수 이주노(45)의 23살 연하 아내 박미리가 힘들게 맺은 사랑의 결실에 눈물을 보였다.9일 오전 방송된 KBS 2TV '여유만만'에 출연한 이주노 박미리 부부는 그간 힘들었던 시간을 고백하며 서로에 대한 사랑을 확인했다.박미리는 ""(교제 사실을)임신 5개월까지 숨겼다""고 ",http://v.media.daum.net/v/20120109105722533,http://t1.daumcdn.net/news/201201/09/starnews/20120109110319346.jpg
